libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Touvois,Saint-Philbert-de-Grand-Lieu,1770,"39,21",Centre,"15,54",MACRON,LE PEN,FILLON,MACRON,"63,94",VacheNantaise
Trans-sur-Erdre,Nort-sur-Erdre,1046,"22,56",Droite,"11,96",LE PEN,MACRON,FILLON,MACRON,"64,1",NDLE
Treffieux,Guéméné-Penfao,841,"19,12",Droite,"14,62",LE PEN,MACRON,MÉLENCHON,MACRON,"62,85",CarriereTahun
Treillières,La Chapelle-sur-Erdre,8734,"29,05",Centre,"11,79",MACRON,MÉLENCHON,FILLON,MACRON,"80,42",ParcDesNaudieres
Trignac,Saint-Nazaire,7636,"14,38",Gauche,"21,62",MÉLENCHON,MACRON,LE PEN,MACRON,"63,73",Bateau
La Turballe,Guérande,4460,"18,53",Centre,"16,76",MACRON,FILLON,MÉLENCHON,MACRON,"73,61",Sel
Vallet,Vallet,8838,"58,96",Centre,"13,55",MACRON,FILLON,MÉLENCHON,MACRON,"75,73",Zoo
Loireauxence,Ancenis,7480,"118,28",Centre,"15,72",MACRON,LE PEN,FILLON,MACRON,"66,39",Chateau
Vay,Guéméné-Penfao,2071,"36,13",Gauche,"14,67",MÉLENCHON,LE PEN,MACRON,MACRON,"64,32",CarriereTahun
Vertou,Vertou,23124,"35,68",Centre,13,MACRON,FILLON,MÉLENCHON,MACRON,"84,2",Vignes
Vieillevigne,Clisson,3964,"51,76",Centre,"15,75",MACRON,FILLON,MÉLENCHON,MACRON,"70,52",Helfest
Vigneux-de-Bretagne,La Chapelle-sur-Erdre,5822,"54,68",Centre,"11,35",MACRON,MÉLENCHON,FILLON,MACRON,"79,74",ParcDesNaudieres
Villepot,Châteaubriant,668,"20,59",Droite,"16,73",FILLON,LE PEN,MACRON,MACRON,"62,78",Fusilles
Vritz,Ancenis,767,"32,89",Droite,"20,39",FILLON,LE PEN,MACRON,MACRON,"58,11",Chateau
Vue,Machecoul,1608,"19,51",Gauche,"17,45",MÉLENCHON,LE PEN,MACRON,MACRON,"62,5",Foret
La Chevallerais,Guéméné-Penfao,1563,"10,23",Gauche,"10,82",MÉLENCHON,MACRON,LE PEN,MACRON,"68,72",CarriereTahun
La Roche-Blanche,Ancenis,3260,"14,82",Centre,"9,55",MACRON,FILLON,LE PEN,MACRON,"68,62",Chateau
Geneston,Saint-Philbert-de-Grand-Lieu,3636,"8,04",Centre,"18,22",MACRON,FILLON,MÉLENCHON,MACRON,"72,93",VacheNantaise
La Grigonnais,Guéméné-Penfao,1651,"21,22",Gauche,"13,49",MÉLENCHON,MACRON,FILLON,MACRON,"70,95",CarriereTahun
