libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Le Croisic,La Baule-Escoublac,4040,"4,5",Droite,"20,16",FILLON,MACRON,LE PEN,MACRON,"71,91",Casino
Crossac,Pont-Château,2983,"25,85",Gauche,14,MÉLENCHON,MACRON,LE PEN,MACRON,"65,82",VacheNantaise
Derval,Guéméné-Penfao,3505,"63,51",Centre,"17,72",MACRON,FILLON,MÉLENCHON,MACRON,"72,61",CarriereTahun
Donges,Saint-Nazaire,7699,"59,9",Gauche,"18,64",MÉLENCHON,LE PEN,MACRON,MACRON,"60,62",Bateau
Drefféac,Pont-Château,2270,"14,16",Centre,"11,13",MACRON,LE PEN,MÉLENCHON,MACRON,"63,24",VacheNantaise
Erbray,Châteaubriant,3043,"58,18",Centre,"15,49",MACRON,LE PEN,FILLON,MACRON,"70,29",Fusilles
La Baule-Escoublac,La Baule-Escoublac,16255,"22,19",Droite,"16,1",FILLON,MACRON,LE PEN,MACRON,"76,78",Casino
Fay-de-Bretagne,La Chapelle-sur-Erdre,3676,"64,81",Gauche,"12,85",MÉLENCHON,MACRON,FILLON,MACRON,"68,99",ParcDesNaudieres
Fégréac,Pont-Château,2349,"44,18",Centre,"14,13",MACRON,LE PEN,MÉLENCHON,MACRON,"66,17",VacheNantaise
Fercé,Châteaubriant,472,"22,04",Droite,"14,33",LE PEN,MACRON,MÉLENCHON,MACRON,"64,71",Fusilles
Frossay,Saint-Brévin-les-Pins,3216,"57,22",Droite,"16,09",FILLON,LE PEN,MACRON,MACRON,"63,95",Pins
Le Gâvre,Blain,1821,"53,58",Centre,"16,48",MACRON,MÉLENCHON,LE PEN,MACRON,"68,75",Centrale
Gétigné,Clisson,3719,"23,8",Centre,"12,55",MACRON,FILLON,MÉLENCHON,MACRON,"73,29",Helfest
Gorges,Clisson,19373,"15,77",Centre,"11,69",MACRON,FILLON,MÉLENCHON,MACRON,"78,2",Helfest
Grand-Auverné,Châteaubriant,769,"34,4",Droite,"13,36",FILLON,MACRON,LE PEN,MACRON,"66,35",Fusilles
Grandchamps-des-Fontaines,La Chapelle-sur-Erdre,6439,"33,87",Centre,"12,38",MACRON,MÉLENCHON,FILLON,MACRON,"76,29",ParcDesNaudieres
Guémené-Penfao,Guéméné-Penfao,5233,"105,51",Centre,"16,09",MACRON,MÉLENCHON,FILLON,MACRON,"68,6",CarriereTahun
Guenrouet,Pont-Château,3374,"69,9",Gauche,"16,43",MÉLENCHON,LE PEN,MACRON,MACRON,"64,38",VacheNantaise
Guérande,Guérande,16294,"81,44",Droite,"17,32",FILLON,MACRON,MÉLENCHON,MACRON,"75,72",Sel
La Haie-Fouassière,Vertou,4691,"11,81",Centre,"13,41",MACRON,MÉLENCHON,FILLON,MACRON,"79,08",Vignes
Haute-Goulaine,Saint-Sébastien-sur-Loire,5893,"20,59",Centre,"11,76",MACRON,FILLON,MÉLENCHON,MACRON,"82,06",Loire
Herbignac,Guérande,7046,"71,43",Centre,"13,61",MACRON,LE PEN,MÉLENCHON,MACRON,"65,78",Sel
Héric,Nort-sur-Erdre,6288,"73,93",Centre,"13,02",MACRON,MÉLENCHON,LE PEN,MACRON,"70,73",NDLE
Indre,Saint-Herblain,4040,"4,72",Gauche,"14,64",MÉLENCHON,MACRON,LE PEN,MACRON,"81,21",Zenith
Issé,Châteaubriant,1807,"38,66",Droite,"13,31",LE PEN,MACRON,FILLON,MACRON,"62,23",Fusilles
Jans,Guéméné-Penfao,1391,"33,21",Centre,"17,27",MACRON,LE PEN,MÉLENCHON,MACRON,"66,11",CarriereTahun
Joué-sur-Erdre,Nort-sur-Erdre,2561,"54,53",Gauche,"13,87",MÉLENCHON,MACRON,LE PEN,MACRON,"68,63",NDLE
Juigné-des-Moutiers,Châteaubriant,332,"24,65",Droite,"13,97",LE PEN,FILLON,MÉLENCHON,MACRON,"42,56",Fusilles
Le Landreau,Vallet,3083,"53,58",Centre,"15,1",MACRON,FILLON,LE PEN,MACRON,"71,76",Zoo
Lavau-sur-Loire,Blain,772,"16,22",Gauche,"8,99",MÉLENCHON,MACRON,LE PEN,MACRON,"78,59",Centrale
Legé,Saint-Philbert-de-Grand-Lieu,4491,"63,32",Droite,"16,08",LE PEN,FILLON,MACRON,MACRON,"60,21",VacheNantaise
Ligné,Nort-sur-Erdre,5302,"45,41",Centre,"13,43",MACRON,MÉLENCHON,LE PEN,MACRON,"69,36",NDLE
La Limouzinière,Saint-Philbert-de-Grand-Lieu,2467,"29,54",Droite,"15,49",LE PEN,MACRON,FILLON,MACRON,"63,73",VacheNantaise
Le Loroux-Bottereau,Vallet,8397,"45,31",Centre,"11,6",MACRON,MÉLENCHON,FILLON,MACRON,"74,61",Zoo
Louisfert,Châteaubriant,986,"18,16",Centre,"10,82",MACRON,LE PEN,FILLON,MACRON,"61,84",Fusilles
Lusanger,Guéméné-Penfao,1055,"35,38",Centre,"19,48",MACRON,FILLON,LE PEN,MACRON,"69,29",CarriereTahun
Machecoul-Saint-Même,Machecoul,7851,"84,89",Droite,"17,24",FILLON,MACRON,LE PEN,MACRON,"69,76",Foret
Maisdon-sur-Sèvre,Clisson,3007,"17,45",Centre,"15,64",MACRON,MÉLENCHON,FILLON,MACRON,"77,02",Helfest
Malville,Blain,3531,"31,24",Gauche,"12,36",MÉLENCHON,MACRON,LE PEN,MACRON,"68,44",Centrale
La Marne,Machecoul,1442,"17,8",Droite,"18,91",FILLON,LE PEN,MACRON,MACRON,"59,23",Foret
Marsac-sur-Don,Guéméné-Penfao,1519,"27,68",Gauche,"15,63",MÉLENCHON,MACRON,FILLON,MACRON,"70,75",CarriereTahun
Massérac,Guéméné-Penfao,694,"18,78",Gauche,"20,04",MÉLENCHON,LE PEN,MACRON,MACRON,"58,79",CarriereTahun
Maumusson,Ancenis,1046,"24,56",Droite,"14,85",FILLON,MACRON,LE PEN,MACRON,"69,02",Chateau
Mauves-sur-Loire,Carquefou,3244,"14,75",Centre,"11,07",MACRON,MÉLENCHON,FILLON,MACRON,"79,01",Stade
La Meilleraye-de-Bretagne,Châteaubriant,1574,"27,63",Droite,"15,01",LE PEN,MACRON,FILLON,MACRON,"65,46",Fusilles
Mésanger,Ancenis,4749,"49,75",Centre,"15,38",MACRON,LE PEN,FILLON,MACRON,"67,43",Chateau
Mesquer,Guérande,2039,"16,72",Droite,"13,49",FILLON,MACRON,MÉLENCHON,MACRON,"78,5",Sel
Missillac,Pont-Château,5398,"59,55",Centre,"15,06",MACRON,LE PEN,MÉLENCHON,MACRON,"64,43",VacheNantaise
Moisdon-la-Rivière,Châteaubriant,1968,"50,43",Droite,"14,35",FILLON,MACRON,LE PEN,MACRON,"73,56",Fusilles
Monnières,Clisson,2125,"9,78",Centre,"11,62",MACRON,FILLON,MÉLENCHON,MACRON,"79,76",Helfest
La Montagne,Saint-Brévin-les-Pins,6261,"3,64",Gauche,"16,58",MÉLENCHON,MACRON,LE PEN,MACRON,"78,9",Pins
Montbert,Saint-Philbert-de-Grand-Lieu,3191,"28,24",Centre,"14,95",MACRON,FILLON,MÉLENCHON,MACRON,"75,62",VacheNantaise
Montoir-de-Bretagne,Saint-Nazaire,7180,"36,79",Gauche,"17,58",MÉLENCHON,LE PEN,MACRON,MACRON,"59,9",Bateau
Montrelais,Ancenis,840,"13,73",Centre,"13,61",MACRON,MÉLENCHON,LE PEN,MACRON,"64,64",Chateau
Mouais,Guéméné-Penfao,372,"9,93",Centre,"20,07",MACRON,LE PEN,MÉLENCHON,MACRON,"59,43",CarriereTahun
Les Moutiers-en-Retz,Pornic,1765,"9,58",Centre,"14,32",MACRON,FILLON,MÉLENCHON,MACRON,"74,58",Voilier
Mouzeil,Nort-sur-Erdre,1911,"18,87",Gauche,"15,03",MÉLENCHON,LE PEN,MACRON,MACRON,"63,61",NDLE
Mouzillon,Vallet,2865,"16,5",Centre,"10,83",MACRON,FILLON,MÉLENCHON,MACRON,"73,31",Zoo
Nantes,Nantes,303382,"65,19",Centre,"19,07",MACRON,MÉLENCHON,FILLON,MACRON,"86,52",Elephant
Nort-sur-Erdre,Nort-sur-Erdre,8539,"66,56",Centre,"14,8",MACRON,MÉLENCHON,FILLON,MACRON,"76,25",NDLE
Notre-Dame-des-Landes,Nort-sur-Erdre,2260,"37,4",Gauche,"15,37",MÉLENCHON,MACRON,LE PEN,MACRON,"66,76",NDLE
Noyal-sur-Brutz,Châteaubriant,591,"7,71",Centre,"14,84",MACRON,LE PEN,FILLON,MACRON,"61,56",Fusilles
Nozay,Guéméné-Penfao,4087,"57,7",Centre,"12,63",MACRON,FILLON,MÉLENCHON,MACRON,"72,35",CarriereTahun
Orvault,Saint-Herblain,25634,"27,67",Centre,"17,44",MACRON,FILLON,MÉLENCHON,MACRON,"84,71",Zenith
Oudon,Ancenis,3720,"22,12",Centre,"15,06",MACRON,MÉLENCHON,FILLON,MACRON,"78,04",Chateau
Paimboeuf,Saint-Brévin-les-Pins,3197,2,Gauche,"18,8",MÉLENCHON,MACRON,LE PEN,MACRON,"68,15",Pins
Le Pallet,Vallet,3234,"11,75",Centre,"11,63",MACRON,MÉLENCHON,FILLON,MACRON,"76,67",Zoo
Pannecé,Ancenis,1340,"30,59",Droite,"11,14",LE PEN,MÉLENCHON,MACRON,MACRON,"62,84",Chateau
Paulx,Machecoul,1972,"35,92",Droite,"12,31",LE PEN,FILLON,MACRON,MACRON,"63,15",Foret
Le Pellerin,Saint-Brévin-les-Pins,4964,"30,65",Gauche,"16,9",MÉLENCHON,MACRON,LE PEN,MACRON,"72,03",Pins
Petit-Auverné,Châteaubriant,4964,"22,53",Droite,"16,56",FILLON,LE PEN,MACRON,MACRON,"63,48",Fusilles
Petit-Mars,Nort-sur-Erdre,3608,"25,97",Centre,"13,5",MACRON,LE PEN,MÉLENCHON,MACRON,"70,89",NDLE
Pierric,Guéméné-Penfao,981,"27,3",Droite,"16,32",LE PEN,MACRON,MÉLENCHON,MACRON,"55,56",CarriereTahun
Le Pin,Ancenis,1411,"24,95",Droite,"15,94",FILLON,LE PEN,MACRON,MACRON,"63,79",Chateau
Piriac-sur-Mer,Guérande,2231,"12,37",Droite,"14,25",FILLON,MACRON,LE PEN,MACRON,75,Sel
La Plaine-sur-Mer,Pornic,4058,"16,39",Droite,"16,32",LE PEN,FILLON,MACRON,MACRON,"61,67",Voilier
La Planche,Clisson,2576,"24,42",Centre,"15,28",MACRON,LE PEN,FILLON,MACRON,"70,74",Helfest
Plessé,Pont-Château,5193,"104,38",Gauche,"17,26",MÉLENCHON,MACRON,LE PEN,MACRON,"67,62",VacheNantaise
Pontchâteau,Pont-Château,10604,"55,79",Centre,"15,77",MACRON,MÉLENCHON,LE PEN,MACRON,"70,95",VacheNantaise
Pont-Saint-Martin,Saint-Philbert-de-Grand-Lieu,5696,"21,88",Centre,"15,4",MACRON,MÉLENCHON,FILLON,MACRON,"74,93",VacheNantaise
Pornic,Pornic,14902,"94,18",Droite,"15,32",FILLON,MACRON,MÉLENCHON,MACRON,"75,03",Voilier
Pornichet,La Baule-Escoublac,10416,"12,67",Droite,"16,24",FILLON,MACRON,MÉLENCHON,MACRON,"78,37",Casino
Port-Saint-Père,Machecoul,2894,"32,57",Centre,"13,76",MACRON,MÉLENCHON,FILLON,MACRON,"68,7",Foret
Pouillé-les-Côteaux,Ancenis,1000,"11,72",Droite,"13,27",LE PEN,MÉLENCHON,FILLON,MACRON,"58,94",Chateau
Le Pouliguen,La Baule-Escoublac,4455,"4,39",Droite,"17,51",FILLON,MACRON,LE PEN,MACRON,"74,92",Casino
Préfailles,Pornic,1213,"4,88",Droite,"16,22",FILLON,MACRON,MÉLENCHON,MACRON,"74,13",Voilier
Prinquiau,Blain,3499,"22,82",Centre,"12,34",MACRON,MÉLENCHON,LE PEN,MACRON,"67,57",Centrale
Puceul,Guéméné-Penfao,1098,"20,09",Centre,"13,68",MACRON,MÉLENCHON,LE PEN,MACRON,"70,87",CarriereTahun
Quilly,Blain,1377,"17,67",Gauche,"14,76",MÉLENCHON,LE PEN,MACRON,MACRON,"61,1",Centrale
La Regrippière,Vallet,1532,"18,17",Droite,"15,38",LE PEN,MACRON,MÉLENCHON,MACRON,"65,94",Zoo
La Remaudière,Vallet,1276,"12,98",Droite,"13,09",LE PEN,MACRON,FILLON,MACRON,"67,15",Zoo
Remouillé,Clisson,1862,"21,38",Centre,"11,92",MACRON,FILLON,MÉLENCHON,MACRON,"73,71",Helfest
Rezé,Rezé,39649,"13,78",Centre,"20,23",MACRON,MÉLENCHON,FILLON,MACRON,"83,73",Avion
Riaillé,Nort-sur-Erdre,2288,"50,02",Centre,"14,26",MACRON,FILLON,MÉLENCHON,MACRON,"70,57",NDLE
Rouans,Machecoul,2860,"37,73",Centre,"15,25",MACRON,MÉLENCHON,LE PEN,MACRON,"67,04",Foret
Rougé,Châteaubriant,2247,"56,32",Centre,"16,65",MACRON,FILLON,LE PEN,MACRON,"63,34",Fusilles
Ruffigné,Châteaubriant,714,"33,63",Centre,"11,76",MACRON,LE PEN,FILLON,MACRON,"65,58",Fusilles
Saffré,Guéméné-Penfao,3814,"57,46",Gauche,"15,73",MÉLENCHON,MACRON,LE PEN,MACRON,"70,15",CarriereTahun
Saint-Aignan-Grandlieu,Rezé,3879,"17,94",Centre,"12,4",MACRON,MÉLENCHON,LE PEN,MACRON,"73,14",Avion
Saint-André-des-Eaux,La Baule-Escoublac,6197,"24,71",Centre,"13,27",MACRON,FILLON,MÉLENCHON,MACRON,"73,13",Casino
Sainte-Anne-sur-Brivet,Pont-Château,2922,"25,99",Centre,"14,8",MACRON,MÉLENCHON,LE PEN,MACRON,"69,35",VacheNantaise
